Number Header,Random Header,Dates,Required Date
1,a,10/9/1999 | 10/22/1999,10/9/1999
2,a,10/9/1999,['10/9/1999']
3,a,10/9/1999 | 10/22/1999,10/9/1999
4,a,3/16/2000,['3/16/2000']
5,a,7/23/2002 | 6/23/2003,7/23/2002
6,a,6/23/2003 | 7/23/2002,7/23/2002
7,a,3/15/2001 | 5/30/2001,3/15/2001
8,a,11/12/1999,['11/12/1999']
9,a,7/13/2000,['7/13/2000']
10,a,10/28/1999,['10/28/1999']
11,a,11/10/1999,['11/10/1999']
12,a,11/10/1999,['11/10/1999']
13,a,11/10/1999,['11/10/1999']
14,a,6/14/2000,['6/14/2000']
15,a,11/6/2000,['11/6/2000']
16,a,10/26/1999,['10/26/1999']
17,a,10/26/1999,['10/26/1999']
18,a,10/29/1999,['10/29/1999']
19,a,10/29/1999,['10/29/1999']
20,a,7/26/2001,['7/26/2001']
21,a,11/3/1999 | 10/30/2000,11/3/1999
22,a,10/30/2000 | 11/3/1999,11/3/1999
23,a,11/4/1999,['11/4/1999']
24,a,11/4/1999,['11/4/1999']
25,a,1/10/2000,['1/10/2000']
26,a,11/27/2001,['11/27/2001']
27,a,1/28/2000,['1/28/2000']
28,a,1/4/2000,['1/4/2000']
29,a,1/4/2000,['1/4/2000']
30,a,4/25/2000,['4/25/2000']
31,a,1/7/2000,['1/7/2000']
32,a,1/7/2000,['1/7/2000']
33,a,8/8/2000 | 7/13/2001,8/8/2000
34,a,7/13/2001 | 8/8/2000,8/8/2000
35,a,8/8/2000 | 7/13/2001,8/8/2000
36,a,8/8/2000 | 7/13/2001,8/8/2000
37,a,1/5/2001 | 1/10/2000,1/10/2000
38,a,1/10/2000 | 11/2/2000,1/10/2000
39,a,1/10/2000 | 11/2/2000,1/10/2000
40,a,9/23/2002 | 9/27/2001,9/27/2001
41,a,9/27/2001 | 9/23/2002,9/27/2001
42,a,9/23/2002 | 9/27/2001,9/27/2001
43,a,2/7/2000,['2/7/2000']
44,a,2/11/2000,['2/11/2000']
45,a,2/11/2000,['2/11/2000']
46,a,3/3/2000,['3/3/2000']
47,a,11/21/2000,['11/21/2000']
48,a,2/7/2000,['2/7/2000']
49,a,2/7/2000,['2/7/2000']
50,a,9/29/2000,['9/29/2000']
51,a,2/10/2000,['2/10/2000']
52,a,9/20/2001,['9/20/2001']
53,a,2/4/2000,['2/4/2000']
54,a,4/7/2000,['4/7/2000']
55,a,7/27/2001,['7/27/2001']
56,a,2/26/2000,['2/26/2000']
